region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_fibroblast_cd44,fibroblast,0.4798056552547554,1.3945557937658315,0.28551432350273886,0.6740969870067719,"[0.6740969870067719, 0.28551432350273886]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,immune_cells,-0.056806846989257295,0.9613896339480242,-0.09263193508108533,-0.02098175889742926,"[-0.02098175889742926, -0.09263193508108533]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,m2_macrophage,0.07439870134116369,1.052922098698601,-0.3035859974237864,0.4523834001061138,"[0.4523834001061138, -0.3035859974237864]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,myeloid,0.9212812510676793,1.8937964190416576,0.7638547446758536,1.078707757459505,"[1.078707757459505, 0.7638547446758536]",75,19,2,2,0,False,False
pooled,pooled,pooled,activated_fibroblast_cd44,neutrophil,0.018127784279397326,1.0126444966563388,-0.10243452517902656,0.1386900937378212,"[0.1386900937378212, -0.10243452517902656]",79,20,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_endothelial_cd140b,1.060960511524121,2.086320080931693,1.0560323096290798,1.0658887134191624,"[1.0658887134191624, 1.0560323096290798]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_endothelial_cd44,1.4186888618634566,2.673424365845473,1.3050893434672683,1.5322883802596448,"[1.3050893434672683, 1.5322883802596448]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_fibroblast_cd140b,0.9816620233969989,1.97473905145949,0.8871419571831174,1.0761820896108805,"[0.8871419571831174, 1.0761820896108805]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_fibroblast_cd44,,,,,[1.232660756790275],32,12,2,1,0,False,True
pooled,pooled,pooled,activated_immune,activated_immune,1.5784704271440035,2.986530441495574,0.7441610955704101,2.412779758717597,"[2.412779758717597, 0.7441610955704101]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_m2_cd140b,,,,,[1.4550531781267233],31,12,2,1,0,False,True
pooled,pooled,pooled,activated_immune,activated_m2_cd44,-0.08450554498143215,0.9431077119363422,-0.8717662309514432,0.7027551409885789,"[0.7027551409885789, -0.8717662309514432]",39,15,2,2,0,False,False
pooled,pooled,pooled,activated_immune,activated_myeloid_cd140b,,,,,[4.559392688903674],30,12,2,1,0,False,True
