focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_endothelial_cd44,myeloid,Sham,0.015159944367176634,0.021987476415127213,0.7078267204565808,-0.5516760404332678,0.4,719.0,5.0,0.0
activated_endothelial_cd44,neutrophil,D1,0.11237113402061855,0.14988314491354057,0.7512242329895471,-0.42218332624118116,0.8333333333333334,873.0,6.0,0.8333333333333334
activated_endothelial_cd44,neutrophil,D3,0.16508688783570302,0.17482289751901758,0.9366602456340952,-0.10763809361121425,0.16666666666666666,633.0,6.0,0.0
activated_endothelial_cd44,neutrophil,D7,0.13231357552581263,0.1786918639177195,0.7552619060758337,-0.597958486521241,0.3333333333333333,523.0,6.0,0.3333333333333333
activated_endothelial_cd44,neutrophil,Sham,0.1265682656826568,0.15039324569915413,0.8363666548489869,-0.2609161915374978,0.5,813.0,6.0,0.16666666666666666
activated_fibroblast_cd140b,activated_endothelial_cd140b,D1,0.10751879699248121,0.09940673667664435,1.1160987916899203,0.10319891963505354,0.3333333333333333,266.0,6.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd140b,D3,0.11282051282051281,0.09445839706115143,1.1935092251656458,0.24751651044254416,0.16666666666666666,234.0,6.0,0.16666666666666666
activated_fibroblast_cd140b,activated_endothelial_cd140b,D7,0.1248730964467005,0.10316447866573714,1.24390319806007,0.2651949580786702,0.3333333333333333,197.0,6.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd140b,Sham,0.09525547445255475,0.08824622032588124,1.1145723403625498,0.12332376093319357,0.16666666666666666,274.0,6.0,0.0
activated_fibroblast_cd140b,activated_endothelial_cd44,D1,0.13383458646616542,0.1761779651889516,0.7492162744123803,-0.48670603310446364,0.3333333333333333,266.0,6.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd44,D3,0.08247863247863248,0.12339639624444214,0.6327176067379564,-0.7937439891701915,0.5,234.0,6.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd44,D7,0.06649746192893402,0.09806554199203368,0.7145764596763637,-0.5229767256403655,0.3333333333333333,197.0,6.0,0.0
activated_fibroblast_cd140b,activated_endothelial_cd44,Sham,0.13686131386861314,0.18133230710137607,0.7468620845258163,-0.4289093383218106,0.6666666666666666,274.0,6.0,0.16666666666666666
activated_fibroblast_cd140b,activated_fibroblast_cd140b,D1,0.08947368421052632,0.054821582196449295,1.617232306805336,0.6286833447916351,0.3333333333333333,266.0,6.0,0.3333333333333333
activated_fibroblast_cd140b,activated_fibroblast_cd140b,D3,0.0918803418803419,0.05042780817516644,1.796217191347282,0.7169787421234317,0.8333333333333334,234.0,6.0,0.5
activated_fibroblast_cd140b,activated_fibroblast_cd140b,D7,0.10558375634517767,0.03845124513559541,2.7246169654001173,1.2059808110208647,0.6666666666666666,197.0,6.0,0.6666666666666666
