focal_cell_type,neighbor_cell_type,timepoint,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_myeloid_cd140b,myeloid,D1,,,9,5,1,True,True
activated_myeloid_cd140b,neutrophil,D1,,,9,5,2,True,False
activated_myeloid_cd44,activated_endothelial_cd140b,D1,0.6165418742705583,-0.6977292120177143,72,6,2,False,False
activated_myeloid_cd44,activated_endothelial_cd44,D1,1.044750952315553,0.0631590737120564,72,6,2,False,False
activated_myeloid_cd44,activated_fibroblast_cd140b,D1,0.8219376598604651,-0.2828991185238967,72,6,2,False,False
activated_myeloid_cd44,activated_fibroblast_cd44,D1,,,41,4,1,False,True
activated_myeloid_cd44,activated_immune,D1,1.0912594667671935,0.1259941694092101,64,5,2,False,False
activated_myeloid_cd44,activated_m2_cd140b,D1,,,59,5,1,False,True
activated_myeloid_cd44,activated_m2_cd44,D1,1.1208304536653824,0.1645680603417033,72,6,2,False,False
activated_myeloid_cd44,activated_myeloid_cd140b,D1,2.479820279963764,1.3102355679507618,69,5,2,False,False
activated_myeloid_cd44,activated_myeloid_cd44,D1,2.6376530525834023,1.3992548101408209,72,6,2,False,False
activated_myeloid_cd44,endothelial,D1,0.6693078278494897,-0.5792582075323076,72,6,2,False,False
activated_myeloid_cd44,fibroblast,D1,0.8304211159893933,-0.2680849658039738,72,6,2,False,False
activated_myeloid_cd44,immune_cells,D1,1.169471442555579,0.2258566328006678,72,6,2,False,False
activated_myeloid_cd44,m2_macrophage,D1,0.9415647063238044,-0.0868678515776123,72,6,2,False,False
activated_myeloid_cd44,myeloid,D1,1.362539932712676,0.4462985123720034,72,6,2,False,False
activated_myeloid_cd44,neutrophil,D1,0.8786156036766528,-0.1866959738461352,72,6,2,False,False
endothelial,activated_endothelial_cd140b,D1,1.2603356906539251,0.3338080470104024,238,6,2,False,False
endothelial,activated_endothelial_cd44,D1,1.0678449673430754,0.094702207811354,238,6,2,False,False
endothelial,activated_fibroblast_cd140b,D1,1.1408074469152152,0.1900553044896217,238,6,2,False,False
endothelial,activated_fibroblast_cd44,D1,0.7700866522067529,-0.376907304046942,175,4,2,False,False
endothelial,activated_immune,D1,1.1796563613975806,0.2383666579686234,182,5,2,False,False
endothelial,activated_m2_cd140b,D1,1.6210733870054903,0.6969494040401154,191,5,2,False,False
endothelial,activated_m2_cd44,D1,0.7715920427676634,-0.3740898295703634,238,6,2,False,False
endothelial,activated_myeloid_cd140b,D1,1.014333518294687,0.0205320962034559,198,5,2,False,False
endothelial,activated_myeloid_cd44,D1,0.6716657231383746,-0.5741846886049518,238,6,2,False,False
endothelial,endothelial,D1,1.333498252886815,0.4152159347102271,238,6,2,False,False
endothelial,fibroblast,D1,0.7559541964132963,-0.4036292712998476,238,6,2,False,False
endothelial,immune_cells,D1,0.9852530435694036,-0.021433793852644,238,6,2,False,False
endothelial,m2_macrophage,D1,1.020886026776943,0.0298218106017252,238,6,2,False,False
endothelial,myeloid,D1,0.7309875122541903,-0.4520813346232446,238,6,2,False,False
endothelial,neutrophil,D1,0.9058944781462588,-0.1425850851470265,238,6,2,False,False
fibroblast,activated_endothelial_cd140b,D1,0.7839748233663822,-0.351120770633215,96,6,2,False,False
fibroblast,activated_endothelial_cd44,D1,0.9778109009467626,-0.0323726058287208,96,6,2,False,False
fibroblast,activated_fibroblast_cd140b,D1,0.9292193772083372,-0.1059088556019284,96,6,2,False,False
fibroblast,activated_fibroblast_cd44,D1,1.3643331272289203,0.4481959481176207,75,4,2,False,False
fibroblast,activated_immune,D1,1.7584958607593288,0.8143419390752371,69,5,2,False,False
fibroblast,activated_m2_cd140b,D1,1.6146862043324512,0.6912538209933772,73,5,2,False,False
fibroblast,activated_m2_cd44,D1,0.524795715394161,-0.930172153522885,96,6,2,False,False
fibroblast,activated_myeloid_cd140b,D1,1.5097153799892324,0.5942765902246447,83,5,2,False,False
fibroblast,activated_myeloid_cd44,D1,0.7544876552934867,-0.4064307988969218,96,6,2,False,False
fibroblast,endothelial,D1,0.7022749469075177,-0.5098921257806106,96,6,2,False,False
fibroblast,fibroblast,D1,1.5896391831858574,0.6686993392825166,96,6,2,False,False
fibroblast,immune_cells,D1,1.048401674893101,0.0681915635844246,96,6,2,False,False
fibroblast,m2_macrophage,D1,0.942785107078178,-0.0849991259833717,96,6,2,False,False
fibroblast,myeloid,D1,1.3192044037382895,0.3996681198679963,96,6,2,False,False
fibroblast,neutrophil,D1,0.994534099859864,-0.0079072569049464,96,6,2,False,False
immune_cells,activated_endothelial_cd140b,D1,1.0236218992814614,0.0336829177174309,207,6,2,False,False
immune_cells,activated_endothelial_cd44,D1,0.949051169329598,-0.0754422207622388,207,6,2,False,False
immune_cells,activated_fibroblast_cd140b,D1,1.1712072128964228,0.2279963436200582,207,6,2,False,False
immune_cells,activated_fibroblast_cd44,D1,1.2155975339773266,0.2816656532516454,122,4,2,False,False
immune_cells,activated_immune,D1,1.456568814060354,0.5425738616968977,180,5,2,False,False
immune_cells,activated_m2_cd140b,D1,1.30145579500831,0.380126310278057,186,5,2,False,False
immune_cells,activated_m2_cd44,D1,0.817272412958581,-0.2911110577424044,207,6,2,False,False
immune_cells,activated_myeloid_cd140b,D1,0.6367063810023625,-0.6512998720597791,162,5,2,False,False
immune_cells,activated_myeloid_cd44,D1,1.308952166653302,0.3884123775024357,207,6,2,False,False
immune_cells,endothelial,D1,1.029520194511119,0.0419721293730804,207,6,2,False,False
immune_cells,fibroblast,D1,1.0635645461444434,0.088907590963626,207,6,2,False,False
immune_cells,immune_cells,D1,1.0126578960904815,0.0181468740679229,207,6,2,False,False
immune_cells,m2_macrophage,D1,0.9991167921515376,-0.0012747626061223,207,6,2,False,False
immune_cells,myeloid,D1,1.0875803578324792,0.1211220010196576,207,6,2,False,False
