focal_cell_type,neighbor_cell_type,region,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_immune,activated_fibroblast_cd140b,Medulla,0.06280487804878049,0.05443654619114996,1.1400491899489764,0.11656629633022038,0.0,164.0,12.0,0.0
activated_immune,activated_fibroblast_cd44,Cortex,0.09357142857142858,0.06463355739001142,1.5387177399982104,0.49691258732730575,0.3333333333333333,140.0,12.0,0.16666666666666666
activated_immune,activated_fibroblast_cd44,Medulla,0.10670731707317076,0.06176580188696906,1.5834139887082581,,0.5,164.0,12.0,0.4166666666666667
activated_immune,activated_immune,Cortex,0.06285714285714286,0.02085754874896212,2.908751253132832,,0.3333333333333333,140.0,12.0,0.25
activated_immune,activated_immune,Medulla,0.040853658536585374,0.01875357686646113,2.733542066494003,,0.3333333333333333,164.0,12.0,0.25
activated_immune,activated_m2_cd140b,Cortex,0.013636363636363636,0.010292775665903624,0.5605358721955308,,0.09090909090909091,110.0,11.0,0.0
activated_immune,activated_m2_cd140b,Medulla,0.009756097560975611,0.01412684718032246,0.5382132759030732,,0.0,164.0,12.0,0.0
activated_immune,activated_m2_cd44,Cortex,0.09714285714285716,0.08427841050183048,1.2970394907322373,0.18768551194111166,0.3333333333333333,140.0,12.0,0.16666666666666666
activated_immune,activated_m2_cd44,Medulla,0.09939024390243903,0.08726076562232692,1.1127973495990657,0.10440371934776015,0.08333333333333333,164.0,12.0,0.0
activated_immune,activated_myeloid_cd140b,Cortex,0.006060606060606061,0.005223325626363393,0.8316618566618567,,0.09090909090909091,132.0,11.0,0.09090909090909091
activated_immune,activated_myeloid_cd140b,Medulla,0.006097560975609756,0.005583290498688984,1.133569844789357,,0.08333333333333333,164.0,12.0,0.0
activated_immune,activated_myeloid_cd44,Cortex,0.07214285714285715,0.046292095077535844,1.6321546623300764,,0.16666666666666666,140.0,12.0,0.0
activated_immune,activated_myeloid_cd44,Medulla,0.04451219512195122,0.040778644435248465,1.000517410626667,,0.08333333333333333,164.0,12.0,0.0
activated_immune,endothelial,Cortex,0.10714285714285715,0.15477175578684926,0.6671880373999465,-0.7017020850196958,0.3333333333333333,140.0,12.0,0.16666666666666666
activated_immune,endothelial,Medulla,0.09451219512195123,0.1462037601090194,0.6580574897727713,-0.7067966480893472,0.4166666666666667,164.0,12.0,0.16666666666666666
activated_immune,fibroblast,Cortex,0.04642857142857143,0.0563983150192504,0.8634363623574357,,0.08333333333333333,140.0,12.0,0.0
activated_immune,fibroblast,Medulla,0.07500000000000001,0.06915337048297816,1.0476362647062427,-0.053098420235794266,0.16666666666666666,164.0,12.0,0.08333333333333333
activated_immune,immune_cells,Cortex,0.060714285714285714,0.05854453172478957,1.1415535870550297,,0.16666666666666666,140.0,12.0,0.08333333333333333
activated_immune,immune_cells,Medulla,0.0701219512195122,0.0605617685902175,1.1991277216386855,0.1587752881038721,0.08333333333333333,164.0,12.0,0.08333333333333333
activated_immune,m2_macrophage,Cortex,0.016428571428571428,0.013655712054672711,1.1798700313458719,,0.0,140.0,12.0,0.0
activated_immune,m2_macrophage,Medulla,0.011585365853658538,0.024929088563572583,0.49524854416982267,,0.08333333333333333,164.0,12.0,0.0
