mean_neighbor_lineage_immune,mean_self_lineage_immune,mean_neighbor_lineage_endothelial,mean_self_lineage_endothelial,mean_neighbor_lineage_stromal,mean_self_lineage_stromal,n_superpixels,roi_id,composite_label,timepoint,region
0.21875397405178523,0.029806289273354363,0.4379404086823896,0.544510081671494,0.2372225412203687,0.035245533917203045,201,roi_IMC_241218_Alun_ROI_D3_M2_02_19,endothelial,D3,Medulla
0.2932214416304801,0.032091064297168105,0.5811431384534258,0.6656976987831494,0.2529389339474049,0.05618545285662319,102,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_endothelial_cd140b_cd44,D3,Medulla
0.4765499353667086,0.7392644121576903,0.34669079825871424,0.31699307753735984,0.19591675733732072,0.09756376657236518,5,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_neutrophil_cd140b,D3,Medulla
0.5655129489403274,0.7680518109597045,0.33367849669230004,0.24585886660422893,0.17668962702573215,0.029062847680969287,15,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_myeloid_cd140b,D3,Medulla
0.6507098924579854,0.9878894347720357,0.03924015039325501,0.024094856451224868,0.46001700908325077,0.11279210266753589,4,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_non_myeloid_immune_cd140b_cd44,D3,Medulla
0.6260212275384619,0.7398751897519054,0.3733745352549739,0.30916518272198723,0.3294641981621991,0.2798264645800884,8,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_neutrophil_cd140b_cd44,D3,Medulla
0.6105790359002556,0.9698839188642873,0.25137136707452495,0.16508893637342842,0.14618534326826088,0.0031547800621066382,4,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_myeloid_cd44,D3,Medulla
0.5012159257616122,0.8098188571974333,0.382296367779134,0.3682826959809591,0.30604797268101236,0.011669619797977973,3,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_m2_macrophage_cd44,D3,Medulla
0.6247297599960808,0.7933829897946898,0.36633401776266805,0.1631662517369009,0.31246332485656814,0.008817441760269665,4,roi_IMC_241218_Alun_ROI_D3_M2_02_19,activated_m2_macrophage_cd140b,D3,Medulla
0.7346512211530748,0.9210149499487795,0.35943157121258595,0.21868587979517357,0.17384653327672767,0.08337002031270858,11,roi_IMC_241218_Alun_ROI_D3_M2_02_19,myeloid,D3,Medulla
