region,timepoint,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
Pooled,D7,endothelial,stromal,0.03676422205267355,1.0258104846407576,0.009435286834664158,0.06409315727068295,"[0.009435286834664158, 0.06409315727068295]",722,6,2,2,0,False,False
Pooled,D7,immune,endothelial,-0.7693016795335988,0.5867013921712737,-0.933340733005186,-0.6052626260620116,"[-0.6052626260620116, -0.933340733005186]",1412,6,2,2,0,False,False
Pooled,D7,immune,immune,0.3153229188880431,1.2442901319857491,0.2724863638053505,0.3581594739707357,"[0.2724863638053505, 0.3581594739707357]",1412,6,2,2,0,False,False
Pooled,D7,immune,stromal,-0.6192711005525939,0.6509997522446044,-0.9976427087068277,-0.24089949239836017,"[-0.24089949239836017, -0.9976427087068277]",1412,6,2,2,0,False,False
Pooled,D7,stromal,endothelial,0.0657426780154755,1.0466235874407162,0.053886948818240056,0.07759840721271094,"[0.07759840721271094, 0.053886948818240056]",190,6,2,2,0,False,False
Pooled,D7,stromal,immune,-0.37885383427914665,0.7690483273253,-0.5631068301832906,-0.19460083837500278,"[-0.19460083837500278, -0.5631068301832906]",190,6,2,2,0,False,False
Pooled,D7,stromal,stromal,0.8860449518550882,1.8481027276463522,0.7567520089554134,1.015337894754763,"[0.7567520089554134, 1.015337894754763]",190,6,2,2,0,False,False
Pooled,Sham,endothelial,endothelial,0.6844892303802519,1.6071328937986378,0.509826030595168,0.8591524301653357,"[0.509826030595168, 0.8591524301653357]",295,6,2,2,0,False,False
Pooled,Sham,endothelial,immune,-0.2660706742335016,0.8315813601640459,-0.3305878922836281,-0.20155345618337514,"[-0.20155345618337514, -0.3305878922836281]",295,6,2,2,0,False,False
Pooled,Sham,endothelial,stromal,0.06988556103579054,1.0496334202013256,0.05569160430127249,0.08407951777030857,"[0.05569160430127249, 0.08407951777030857]",295,6,2,2,0,False,False
Pooled,Sham,immune,endothelial,-0.3025173195344222,0.8108363548966091,-0.3840491975592994,-0.2209854415095449,"[-0.2209854415095449, -0.3840491975592994]",1177,6,2,2,0,False,False
