focal_cell_type,neighbor_cell_type,region,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
neutrophil,activated_endothelial_cd140b,Cortex,0.6384339203620073,-0.6473907900720731,1712,12,2,False,False
neutrophil,activated_endothelial_cd44,Cortex,0.967155523041384,-0.0481801945549122,1712,12,2,False,False
neutrophil,activated_fibroblast_cd140b,Cortex,0.7381600897855605,-0.4379943576085972,1712,12,2,False,False
neutrophil,activated_fibroblast_cd44,Cortex,0.8243485418611614,-0.278673644254191,1554,11,2,False,False
neutrophil,activated_immune,Cortex,1.0410975399973084,0.0581052404703539,937,7,2,False,False
neutrophil,activated_m2_cd140b,Cortex,0.8835718636158725,-0.1785806165157568,1577,11,2,False,False
neutrophil,activated_m2_cd44,Cortex,0.979817471244908,-0.0294150781659012,1712,12,2,False,False
neutrophil,activated_myeloid_cd140b,Cortex,0.5918700873975034,-0.7566475488223657,1251,9,2,False,False
neutrophil,activated_myeloid_cd44,Cortex,0.9962516275393938,-0.0054179189048608,1712,12,2,False,False
neutrophil,endothelial,Cortex,0.6398067451353397,-0.6442918928026262,1712,12,2,False,False
neutrophil,fibroblast,Cortex,0.7088245209076537,-0.4964995818804847,1712,12,2,False,False
neutrophil,immune_cells,Cortex,0.7637382743893047,-0.3888497693638634,1712,12,2,False,False
neutrophil,m2_macrophage,Cortex,1.0380615708472054,0.0538920172232843,1712,12,2,False,False
neutrophil,myeloid,Cortex,0.7389628622848526,-0.4364262335521782,1599,11,2,False,False
neutrophil,neutrophil,Cortex,1.2251845884785857,0.2929991245916588,1712,12,2,False,False
activated_endothelial_cd140b,activated_endothelial_cd140b,Medulla,3.0698042437921917,1.6181466603138106,138,12,2,False,False
activated_endothelial_cd140b,activated_endothelial_cd44,Medulla,0.8988667717250872,-0.1538207967395741,138,12,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd140b,Medulla,1.0397273826361262,0.0562053021387788,138,12,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd44,Medulla,1.112676300527033,0.1540339452876888,108,9,2,False,False
activated_endothelial_cd140b,activated_immune,Medulla,3.173080729699013,1.6658842268511411,95,8,2,False,False
activated_endothelial_cd140b,activated_m2_cd140b,Medulla,1.5414585458550842,0.6242960918495912,128,10,2,False,False
activated_endothelial_cd140b,activated_m2_cd44,Medulla,0.5787659420249427,-0.7889480671389981,138,12,2,False,False
activated_endothelial_cd140b,activated_myeloid_cd140b,Medulla,2.253804427162335,1.1723623317459455,115,9,2,False,False
activated_endothelial_cd140b,activated_myeloid_cd44,Medulla,1.0217834229017335,0.0310894352019222,138,12,2,False,False
activated_endothelial_cd140b,endothelial,Medulla,1.4600485419524014,0.5460163349065489,138,12,2,False,False
activated_endothelial_cd140b,fibroblast,Medulla,0.7102004604197394,-0.4937017992355189,138,12,2,False,False
activated_endothelial_cd140b,immune_cells,Medulla,0.9187277921914953,-0.1222906229570395,138,12,2,False,False
activated_endothelial_cd140b,m2_macrophage,Medulla,0.8229883863075258,-0.2810560228489164,138,12,2,False,False
activated_endothelial_cd140b,myeloid,Medulla,0.9428808832605484,-0.0848525721141628,138,12,2,False,False
activated_endothelial_cd140b,neutrophil,Medulla,0.7263497672848525,-0.4612636623506653,138,12,2,False,False
activated_endothelial_cd44,activated_endothelial_cd140b,Medulla,0.6710699353335138,-0.5754649706358644,108,12,2,False,False
activated_endothelial_cd44,activated_endothelial_cd44,Medulla,2.4441156555783023,1.289312555116298,108,12,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd140b,Medulla,0.7796480279202413,-0.3591051285756533,108,12,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd44,Medulla,1.7483998820977518,0.8060351859489885,87,9,2,False,False
activated_endothelial_cd44,activated_immune,Medulla,2.854708771062744,1.5133435736181442,65,8,2,False,False
activated_endothelial_cd44,activated_m2_cd140b,Medulla,2.018027857214894,1.012946089800261,91,10,2,False,False
activated_endothelial_cd44,activated_m2_cd44,Medulla,0.761158914371448,-0.3937304045737377,108,12,2,False,False
activated_endothelial_cd44,activated_myeloid_cd140b,Medulla,,,71,9,1,False,True
activated_endothelial_cd44,activated_myeloid_cd44,Medulla,0.9358830028785248,-0.0955999087934454,108,12,2,False,False
activated_endothelial_cd44,endothelial,Medulla,1.2292138975097295,0.2977359832662798,108,12,2,False,False
activated_endothelial_cd44,fibroblast,Medulla,1.0471435276293375,0.0664592000600742,108,12,2,False,False
activated_endothelial_cd44,immune_cells,Medulla,0.6496234306642131,-0.6223244261982513,108,12,2,False,False
activated_endothelial_cd44,m2_macrophage,Medulla,0.5650675873381222,-0.8235046572960387,108,12,2,False,False
activated_endothelial_cd44,myeloid,Medulla,0.3449164390251811,-1.5356812043172936,108,12,2,False,False
activated_endothelial_cd44,neutrophil,Medulla,1.038814066467727,0.0549374546370781,108,12,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd140b,Medulla,1.271245865840044,0.3462430823685061,213,12,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd44,Medulla,0.7366117268424048,-0.4410237297937341,213,12,2,False,False
activated_fibroblast_cd140b,activated_fibroblast_cd140b,Medulla,1.5732203276762615,0.6537207326649264,213,12,2,False,False
activated_fibroblast_cd140b,activated_fibroblast_cd44,Medulla,1.5722728050058514,0.6528515612877109,163,9,2,False,False
activated_fibroblast_cd140b,activated_immune,Medulla,1.48968853660859,0.5750107242031877,140,8,2,False,False
activated_fibroblast_cd140b,activated_m2_cd140b,Medulla,,,172,10,1,False,True
activated_fibroblast_cd140b,activated_m2_cd44,Medulla,0.6567417294692294,-0.6066019676728915,213,12,2,False,False
activated_fibroblast_cd140b,activated_myeloid_cd140b,Medulla,1.4025602230262628,0.4880627184961089,152,9,2,False,False
activated_fibroblast_cd140b,activated_myeloid_cd44,Medulla,0.8159275916072274,-0.2934869670340458,213,12,2,False,False
activated_fibroblast_cd140b,endothelial,Medulla,0.9639943356408804,-0.0529034255761302,213,12,2,False,False
activated_fibroblast_cd140b,fibroblast,Medulla,1.4804380852119925,0.566024155476328,213,12,2,False,False
