k,scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20,20.0,Medulla,D7,endothelial+immune,1.861840600986806,0.8967295637615751,244,3,2,False,False,"[0.8174904847966163, 0.9759686427265337]"
20,20.0,Medulla,D7,endothelial+immune+stromal,1.2255349866814391,0.29341167097857435,667,3,2,False,False,"[0.23169111454818467, 0.35513222740896405]"
20,20.0,Medulla,D7,endothelial+stromal,1.8788752891663358,0.9098693106790708,134,3,2,False,False,"[0.8026803900069055, 1.0170582313512362]"
20,20.0,Medulla,D7,immune,1.5703040948538227,0.6510439690884782,100,3,2,False,False,"[0.08374209081641462, 1.2183458473605417]"
20,20.0,Medulla,D7,immune+stromal,1.5936077915847526,0.6722966062668767,183,3,2,False,False,"[0.5267641582081405, 0.8178290543256129]"
20,20.0,Medulla,D7,none,1.3716686632365178,0.45593202988151144,220,3,2,False,False,"[0.3512224016814004, 0.5606416580816225]"
20,20.0,Medulla,D7,stromal,3.03568163627258,1.6020204976524943,54,3,2,False,False,"[1.6316239394852825, 1.5724170558197064]"
20,20.0,Medulla,Sham,endothelial,1.0723188748542338,0.10073398300024948,202,3,2,False,False,"[-0.03244770874976748, 0.23391567475026645]"
20,20.0,Medulla,Sham,endothelial+immune,1.2036274974535655,0.2673889712278451,118,3,2,False,False,"[0.478116583304184, 0.05666135915150618]"
20,20.0,Medulla,Sham,endothelial+immune+stromal,1.2549596481921135,0.3276409766947381,411,3,2,False,False,"[0.41274279371059885, 0.2425391596788773]"
20,20.0,Medulla,Sham,endothelial+stromal,1.36438403254323,0.448249776228207,162,3,2,False,False,"[0.5907867346334823, 0.3057128178229317]"
20,20.0,Medulla,Sham,immune,1.6061044886988336,0.683565753642272,113,3,2,False,False,"[0.9453302458193443, 0.4218012614651997]"
20,20.0,Medulla,Sham,immune+stromal,1.3476890882110295,0.43048770524940405,131,3,2,False,False,"[0.7356665839871028, 0.12530882651170533]"
20,20.0,Medulla,Sham,none,1.2703684392153602,0.3452469760057541,538,3,2,False,False,"[0.535764339265981, 0.1547296127455272]"
20,20.0,Medulla,Sham,stromal,1.6177749100070258,0.694010891570891,116,3,2,False,False,"[1.3186267317971112, 0.0693950513446709]"
20,20.0,Pooled,D1,endothelial,1.0693857129784359,0.09678230753380845,360,6,2,False,False,"[0.000402309237048204, 0.1931623058305687]"
20,20.0,Pooled,D1,endothelial+immune,1.2050346265517073,0.2690746027512457,210,6,2,False,False,"[0.01926287697664207, 0.5188863285258493]"
20,20.0,Pooled,D1,endothelial+immune+stromal,1.1225716891917012,0.16680758068029336,1075,6,2,False,False,"[0.23414134177552234, 0.09947381958506439]"
20,20.0,Pooled,D1,endothelial+stromal,1.1563398760098558,0.20956550282640457,329,6,2,False,False,"[0.1750386342272829, 0.24409237142552623]"
20,20.0,Pooled,D1,immune,1.241138972030344,0.31166466505229246,206,6,2,False,False,"[0.10794243860380522, 0.5153868915007797]"
20,20.0,Pooled,D1,immune+stromal,1.8153532197015139,0.8602502858145807,223,6,2,False,False,"[0.7606958246424377, 0.9598047469867238]"
20,20.0,Pooled,D1,none,1.1040612468580024,0.14282020661554037,893,6,2,False,False,"[0.2229352258991657, 0.06270518733191505]"
