compartment,timepoint,mouse,region,cd44_rate,n_support,scale_um
CD31,D7,MS1,cortex,0.627895752895753,130,40.0
CD31,D7,MS2,cortex,0.8541666666666666,48,40.0
CD31,Sham,MS1,cortex,0.6962962962962963,62,40.0
CD31,Sham,MS2,cortex,0.5555555555555556,45,40.0
CD34,D1,MS1,cortex,0.6403225806451613,92,40.0
CD34,D1,MS2,cortex,0.8571428571428571,63,40.0
CD34,D3,MS1,cortex,0.6792452830188679,53,40.0
CD34,D3,MS2,cortex,0.7265745007680491,94,40.0
CD34,D7,MS1,cortex,0.6147169811320754,103,40.0
CD34,D7,MS2,cortex,0.8666666666666667,15,40.0
CD34,Sham,MS1,cortex,0.5914502164502164,65,40.0
CD34,Sham,MS2,cortex,0.43902439024390244,41,40.0
CD140b,D1,MS1,cortex,0.6233870967741936,122,40.0
CD140b,D1,MS2,cortex,0.8333333333333334,90,40.0
CD140b,D3,MS1,cortex,0.5797101449275363,69,40.0
CD140b,D3,MS2,cortex,0.6971544715447155,131,40.0
CD140b,D7,MS1,cortex,0.7281698564593302,164,40.0
CD140b,D7,MS2,cortex,0.8888888888888888,81,40.0
CD140b,Sham,MS1,cortex,0.6525719267654752,68,40.0
CD140b,Sham,MS2,cortex,0.56,50,40.0
endothelial_cd31cd34,D1,MS1,cortex,0.7268181818181818,69,40.0
endothelial_cd31cd34,D1,MS2,cortex,0.8548387096774194,62,40.0
endothelial_cd31cd34,D3,MS1,cortex,0.6363636363636364,44,40.0
endothelial_cd31cd34,D3,MS2,cortex,0.7605820105820106,83,40.0
endothelial_cd31cd34,D7,MS1,cortex,0.6580446131941149,92,40.0
endothelial_cd31cd34,D7,MS2,cortex,1.0,13,40.0
endothelial_cd31cd34,Sham,MS1,cortex,0.7367788461538461,45,40.0
endothelial_cd31cd34,Sham,MS2,cortex,0.5,34,40.0
CD45,D1,MS1,medulla,0.6363636363636364,22,40.0
CD45,D1,MS2,medulla,0.7738095238095238,68,40.0
CD45,D3,MS1,medulla,0.375,56,40.0
CD45,D3,MS2,medulla,0.6521739130434783,69,40.0
CD45,D7,MS1,medulla,0.3870967741935484,31,40.0
CD45,D7,MS2,medulla,0.6182728410513141,81,40.0
CD45,Sham,MS1,medulla,0.8,50,40.0
CD45,Sham,MS2,medulla,0.4583333333333333,25,40.0
CD206,D1,MS1,medulla,0.5789473684210527,19,40.0
CD206,D1,MS2,medulla,0.5705705705705706,110,40.0
CD206,D3,MS1,medulla,0.22351694915254236,131,40.0
CD206,D3,MS2,medulla,0.660377358490566,53,40.0
CD206,D7,MS1,medulla,0.16091954022988506,87,40.0
