endpoint,composite_label,contrast,hedges_g_sigmoid,g_shrunk_neutral_sigmoid,g_pathological_sigmoid,support_sensitive,hedges_g_raw,g_shrunk_neutral_raw,g_pathological_raw,sigmoid_above,raw_above,headline_overlap_status,sign_agree
vs_sham_mean_delta_lineage_immune,m2_macrophage,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,m2_macrophage,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,m2_macrophage,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,m2_macrophage,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,m2_macrophage,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,mixed,D1_vs_D3,-0.12805767864774023,-0.06396328188087476,False,False,-0.9239632802188039,-0.4385804108478041,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,mixed,D1_vs_D7,1.0786161587705383,0.5027513677894198,False,False,0.06450354871136255,0.032243389648013175,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_immune,mixed,D3_vs_D7,1.5265407679403264,0.6662361414835204,False,False,0.8904587909697306,0.42420684791207236,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_immune,mixed,Sham_vs_D1,0.9019042876560274,0.429135145205408,False,False,1.9541238034094472,0.7888039798084865,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_immune,mixed,Sham_vs_D3,1.165748200858171,0.5372430631039619,False,False,-0.013662791930319917,-0.006831316264242916,False,True,False,sigmoid_only,False
vs_sham_mean_delta_lineage_immune,mixed,Sham_vs_D7,2.946143189124513,0.9549989873587972,False,False,1.5035132995125013,0.6586934631998368,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,neutrophil,D1_vs_D3,1.8636608830929837,0.7656298220618529,False,True,1.916434457297874,0.7793266440209309,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,neutrophil,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,neutrophil,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,neutrophil,Sham_vs_D1,0.4128440901442457,0.20424630817526898,False,True,0.004285425134641052,0.0021427101079086793,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,neutrophil,Sham_vs_D3,1.8889526571488617,0.7722563107085774,False,True,2.027666400353256,0.8065726987664016,False,True,True,both_above,True
vs_sham_mean_delta_lineage_immune,neutrophil,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_immune,non_myeloid_immune,D1_vs_D3,1.5014430190186898,0.6580106419922583,False,False,1.0550969493598954,0.4932310151684674,False,True,False,sigmoid_only,True
