focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois
immune,endothelial+stromal,D3,0.06900739826261862,0.1075822306905899,0.6273853618670235,-0.6796506906236323,1.0,668,6
immune,endothelial+stromal,D7,0.02176297683797684,0.0589903647524077,0.33071978016386566,-1.8404908891889489,1.0,710,6
immune,endothelial+stromal,Sham,0.06805756950283241,0.09812928623325044,0.6848948128154544,-0.5650632277488573,1.0,1163,6
immune,immune,D1,0.09827516924773666,0.060487163991786046,1.6462095142509006,0.690820902717059,1.0,874,6
immune,immune,D3,0.10700488033749168,0.04624495340932319,2.366531706223911,1.2024685504229784,1.0,668,6
immune,immune,D7,0.1319989861989862,0.048057181144598275,2.4276386539197796,1.20294885887172,1.0,710,6
immune,immune,Sham,0.12031997847571056,0.0798790153462741,1.5078804959635992,0.5656642262670443,1.0,1163,6
immune,immune+stromal,D1,0.08606982269136663,0.06296953300937401,1.411749287134876,0.48218425076352595,0.8333333333333334,874,6
immune,immune+stromal,D3,0.10233078294231159,0.07164195969218663,1.488208969632567,0.5525837786268369,1.0,668,6
immune,immune+stromal,D7,0.1544540885040885,0.11841313149333932,1.3471492100937577,0.37105077542358034,1.0,710,6
immune,immune+stromal,Sham,0.10609564327878239,0.08687890555309101,1.231174386905239,0.2942651269615248,0.6666666666666666,1163,6
immune,none,D1,0.2732048048003401,0.19982994353696557,1.3702036255662466,0.45055006982328766,1.0,874,6
immune,none,D3,0.23851277438296462,0.17607565468236097,1.3644418550255681,0.431060754175554,1.0,668,6
immune,none,D7,0.2244291615791616,0.14442729300980117,1.5644222442941633,0.6193060185675949,1.0,710,6
immune,none,Sham,0.3047929325200865,0.24854028979087772,1.2305234349733394,0.29293662196036113,1.0,1163,6
immune,stromal,D1,0.05714738270190597,0.05641653456230667,1.0644921832460006,0.06873766858254367,0.3333333333333333,874,6
immune,stromal,D3,0.04503228338007353,0.04625220956565659,1.053212187830808,-0.007064179856077417,0.3333333333333333,668,6
immune,stromal,D7,0.021286900136900138,0.026533722494840938,0.8364323698400312,-0.4206412982752424,0.3333333333333333,710,6
immune,stromal,Sham,0.06334078465597481,0.06364466643377106,1.0121095692559552,0.00016583653042202655,0.3333333333333333,1163,6
immune+stromal,endothelial,D1,0.08782276400862139,0.14668674676706095,0.5965444177312154,-0.7839435071104787,1.0,915,6
immune+stromal,endothelial,D3,0.06332857529881715,0.14195323083352904,0.44680297859258666,-1.1815437444300037,1.0,1036,6
immune+stromal,endothelial,D7,0.03849152730837039,0.11308985545627974,0.326463359234767,-1.6940529830327604,1.0,1747,6
immune+stromal,endothelial,Sham,0.09059191964041331,0.13929879749000063,0.6429267207861215,-0.6490405963251181,1.0,1269,6
immune+stromal,endothelial+immune,D1,0.06361257019938622,0.08663199765639128,0.7308219886120866,-0.46243425019080114,0.8333333333333334,915,6
immune+stromal,endothelial+immune,D3,0.052957983595433834,0.09221247240339832,0.5716762397298106,-0.8246871116998546,1.0,1036,6
immune+stromal,endothelial+immune,D7,0.0439844680088368,0.1056870756144359,0.4510912594362495,-1.2173072172506083,1.0,1747,6
immune+stromal,endothelial+immune,Sham,0.06233303873986531,0.08064928987932247,0.7698877875643791,-0.3817931105301564,1.0,1269,6
immune+stromal,endothelial+immune+stromal,D1,0.22307910741939685,0.2535376154068462,0.8834395613109379,-0.1897227608565856,0.5,915,6
immune+stromal,endothelial+immune+stromal,D3,0.3047909504342643,0.3180372887229554,0.9710113737358039,-0.04905409142354026,0.6666666666666666,1036,6
immune+stromal,endothelial+immune+stromal,D7,0.3643407252870039,0.384801376034297,0.96099008248431,-0.07033073732363267,0.8333333333333334,1747,6
immune+stromal,endothelial+immune+stromal,Sham,0.18999057594494598,0.20297974927341259,0.9493743948244516,-0.09060464109028234,0.3333333333333333,1269,6
immune+stromal,endothelial+stromal,D1,0.0946671763578258,0.13344046506926924,0.7200498166319841,-0.4853162132099544,1.0,915,6
immune+stromal,endothelial+stromal,D3,0.07518415856846675,0.1075822306905899,0.672710578355337,-0.62771272764742,1.0,1036,6
immune+stromal,endothelial+stromal,D7,0.03577575568811315,0.0589903647524077,0.5757464003150358,-0.9218184549109919,0.8333333333333334,1747,6
immune+stromal,endothelial+stromal,Sham,0.08148403179227344,0.09812928623325044,0.8179654674267164,-0.3056208349444504,0.6666666666666666,1269,6
immune+stromal,immune,D1,0.08562875566559226,0.060487163991786046,1.4161201965812313,0.4912600618251404,0.8333333333333334,915,6
